Name,Occur
{Year Peak},32
{Gaon Chart},25
{Gaon Music Chart},23
{Lee},12
{Ricky Martin},10
{Jo Kwon},9
{Year},9
{Alex},9
{Popularity},8
{Bob Girls},8
