Name,Occur
{Adolfo Lazo},21
{Celtic Woman},20
{Andrea},13
{Charlie},12
{Lisa Lambe},10
{DVD Byrne},10
{Barry Phillips},9
{Michael Mullen},9
{Brian McNeill},9
{Alan Reid},9
