Name,Occur
{Carter},29
{Joe Billingslea},16
{Fred Parris},16
{Love "},15
{Joseph},13
{Jenkins Ltd.},12
{J.T. Carter},11
{Marvin Junior},11
{Jay},10
{Marv Goldberg},10
