Group,Best Category
Can_(South_Korean_band),K-pop
Canned_Heat,American_blues
Cantata_Singers_and_Ensemble,American_instrumental
Cantus_(vocal_ensemble),cappella
Cappy_Barra_Harmonica_Band,American_instrumental
Captain_Tractor,Canadian_Celtic
Carne_Cruda,Latin
Carreg_Lafar,Celtic
Cartouche_(group),Electronic
Category_talk:American_blues_musical_groups,Punk_blues
Category_talk:British_instrumental_musical_groups,American_instrumental
Category_talk:Canadian_Celtic_music_groups,Celtic
Category_talk:Japanese_instrumental_musical_groups,Japanese_instrumental
Category_talk:Latin_music_groups,Latin
Category_talk:Punk_blues_musical_groups,Punk_blues
Ceili_Rain,Celtic
Cele_De,Celtic
Celluloide_(band),Electronic
Celtae_(band),Celtic
Celtas_Cortos,Celtic
Celtic_Fiddle_Festival,Celtic
Celtic_Spring,Celtic
Celtic_Thunder,Celtic
Celtic_Woman,Celtic
Celtic_music,Celtic
Celtic_music_in_Poland,Celtic
Cephas_&_Wiggins,American_blues
Chakra_(band),K-pop
Champs_(Brazilian_band),K-pop
Chant_(band),Electronic
Chapter_6_(band),cappella
Charlie_and_the_Bhoys,Celtic
Charlotte_(American_band),American_blues_rock
Cheater_Slicks,American_blues_rock
Checkpoint_303,Electronic
Chef_Menteur_(band),American_instrumental
Cherish_the_Ladies,Celtic
Cherry_Filter,American_blues_rock
Chicago_Blues_All-Stars,American_blues
Chicago_a_cappella,cappella
Chicano_Batman,Latin
Chico_&_Roberta,Latin
Chinese_Man,Trip_hop
Chocolat_(band),K-pop
Chocolate_(band),Latin
Chorus_of_the_Chesapeake,cappella
Chris_Barber,American_blues
Chris_Robinson_Brotherhood,American_blues_rock
Cibo_Matto,Trip_hop
Cimorelli,cappella
Cinderella_(band),American_blues_rock
Cinderella_Acappella,cappella
CirKus,Trip_hop
City_of_Oxford_Silver_Band,British_instrumental
Clandestine_(band),Celtic
Clare_Quilty_(group),Trip_hop
Claremont_Shades,cappella
Clayton_Miller_Band,American_blues
Cleo_(band),K-pop
Click-B,K-pop
Close_Shave,cappella
Clover_(musical_trio),Trip_hop
Club_for_Five,cappella
Clumsy_Lovers,Celtic
Clutch_(band),American_blues_rock
Coco's_Lunch,cappella
CocoSori,K-pop
Cocosuma,Trip_hop
Coed_School_(band),K-pop
Cold_War_Kids,American_blues_rock
Colin_Dussault’s_Blues_Project,American_blues
Collections_of_Colonies_of_Bees,American_instrumental
Collide_(band),Trip_hop
Come_(American_band),American_blues_rock
Comedian_Harmonists,cappella
Committed_(vocal_group),cappella
Compulsive_Gamblers,American_blues_rock
Conquering_Dystopia,American_instrumental
Contemporary_A_Cappella_Society,cappella
Cool_(band),K-pop
Cordis_(band),American_instrumental
Corelia,American_instrumental
Cosmic_Girls,K-pop
Covenant_Voices,cappella
Cows_(band),American_blues_rock
Craicmore,Celtic
Creedence_Clearwater_Revival,American_blues_rock
Crime_in_Choir,American_blues_rock
Critters_Buggin,American_blues_rock
Crow_(band),American_blues_rock
Culann's_Hounds,Celtic
