Group,Best Category
The_Electric_Flag,American_blues
The_Elegants,American_instrumental
The_Emotions_(doo-wop_group),American_instrumental
The_Entourage_Music_and_Theater_Ensemble,American_instrumental
The_Esoterics_(ensemble),cappella
The_Essentials_(band),cappella
The_Ettes,American_blues_rock
The_Fabulous_Thunderbirds,American_blues
The_Famous_Flames,American_blues_rock
The_Fenians,Celtic
The_Fireflies,Doo-wop
The_Five_Discs,Doo-wop
The_Five_Keys,American_blues
The_Five_Satins,Doo-wop
The_Five_Sharps,Doo-wop
The_Flairs,American_instrumental
The_Flamingos,___NONE___
The_Flee-Rekkers,British_instrumental
The_Flesh_Eaters,American_blues_rock
The_Flying_Luttenbachers,American_blues_rock
The_Flying_Padovanis,British_instrumental
The_Flying_Pickets,cappella
The_Four_Buddies,Doo-wop
The_Four_Fellows,Doo-wop
The_Four_Horsemen_(band),American_blues_rock
The_Four_Knights,American_instrumental
The_Four_Larks_(Philadelphia_group),American_blues
The_Furys_(doo-wop_group),American_instrumental
The_G-Clefs,American_blues
The_Garbage-Men,American_instrumental
The_Glasspack,American_blues_rock
The_Go_Find,Electronic
The_Golden_Group_Memories,Doo-wop
The_Gories,American_blues_rock
The_Gothard_Sisters,Celtic
The_Grassy_Knoll_(band),Trip_hop
The_Great_Western_Chorus_of_Bristol,cappella
The_Greenhornes,American_blues_rock
The_GrooveBarbers,cappella
The_Groupies_(band),American_blues_rock
The_Halos,Doo-wop
The_Hangovers_(Cornell_University),cappella
The_Harmonica_Gentlemen,American_instrumental
The_Harptones,Doo-wop
The_Heartaches,cappella
The_Heartbeats,American_blues_rock
The_Heebee-jeebees,Canadian_Celtic
The_Hennessys,Celtic
The_High_Level_Ranters,Celtic
The_Hollywood_Flames,American_blues
The_Hollywood_Saxons,American_blues_rock
The_Honeymoon_Killers_(American_band),American_blues_rock
The_Hooten_Hallers,American_blues_rock
The_Horny_Horns,American_instrumental
The_Horrible_Crowes,American_blues_rock
The_Hunters_(instrumental_band),British_instrumental
The_Hyannis_Sound,cappella
The_Idea_of_North,cappella
The_Immortal_Lee_County_Killers,Punk_blues
The_Impalas,American_blues_rock
The_Impressions,American_instrumental
The_Internet_(band),Trip_hop
The_Iron_Heart,American_blues_rock
The_Iron_Horse_(Scottish_band),Celtic
The_Islanders_(American_band),American_instrumental
The_Isley_Brothers,American_blues_rock
The_J._Geils_Band,American_blues_rock
The_Jamies,cappella
The_Jarmels,American_blues
The_Jelly_Roll_Kings,American_blues_rock
The_Jenerators,American_blues_rock
The_Jesters,Doo-wop
The_Jive_Five,cappella
The_King's_Singers,cappella
The_Kropotkins,American_blues
The_Kwartet,cappella
The_Latino_Rockabilly_War,American_instrumental
The_Legendary_Blues_Band,American_blues
The_Lively_Ones,American_blues_rock
The_Lovers_(Californian_band),American_blues_rock
The_Magic_Drum_and_Bugle_Corps,American_instrumental
The_Magpie_Salute,American_blues_rock
The_Mahones,Celtic
The_Makem_Brothers,Celtic
The_Mannish_Boys,American_blues
The_Marcus_King_Band,American_blues_rock
The_Marshall_Tucker_Band,American_blues_rock
The_Martins,cappella
The_McDades,Canadian_Celtic
The_Mermen,American_blues_rock
The_Mess_Hall,American_blues_rock
The_Misunderstood,American_blues_rock
The_Moontrekkers,British_instrumental
The_Muggs,American_blues_rock
The_Nashville_A-Team,American_instrumental
The_New_Leviathan_Oriental_Fox-Trot_Orchestra,American_instrumental
The_Nighthawks,American_blues
The_Nikhil_Korula_Band,Latin
The_Original_Surfaris,American_instrumental
The_Outlaws_(band),British_instrumental
The_Paladins,American_blues_rock
The_Paperboys_(Canadian_band),Celtic
The_Piltdown_Men,American_instrumental
The_Prime_Movers_(Michigan_band),Punk_blues
The_Prisonaires,American_blues_rock
The_Ramrods_(instrumental_group),American_instrumental
The_Rankin_Family,Canadian_Celtic
The_Real_McKenzies,Canadian_Celtic
The_Red_Fox_Chasers,American_instrumental
The_Revels,American_instrumental
The_Reverend_Peyton's_Big_Damn_Band,American_blues
The_Rides,American_blues
The_Routers,American_instrumental
The_Scientists,American_blues_rock
The_Shadows,British_instrumental
The_Shaun_Murphy_Band,American_blues
The_Stems,American_blues_rock
The_Surf_Coasters,Japanese_instrumental
The_TKO_Horns,British_instrumental
The_Two_Poor_Boys,American_blues
The_Upholsterers,American_blues_rock
The_White_Stripes,American_blues_rock
The_Wiyos,American_blues
Thee_Headcoats,American_blues_rock
Thee_Hypnotics,American_blues_rock
Three_Pints_Gone,Celtic
Toe_(band),Japanese_instrumental
Too_Slim_and_the_Taildraggers,American_blues_rock
Trampled_Under_Foot_(band),American_blues
Trio_Los_Condes,Latin
Two-Star_Tabernacle,American_blues_rock
Uisce_Beatha_(band),Celtic
Ukulele_Orchestra_of_Great_Britain,British_instrumental
Vernon_Building_Society_(Poynton)_Brass_Band,British_instrumental
Virtuosi_GUS_Band,British_instrumental
Visible_from_Space,American_blues
We_Banjo_3,Celtic
West,_Bruce_and_Laing,American_blues_rock
Wicked_Tinkers,Celtic
William_Coulter,Celtic
Winans_family,American_blues
Wolfstone,Celtic
Worbey_&_Farrell,British_instrumental
Zeke_(band),American_blues_rock
Zuntata,Japanese_instrumental
