Year,Occur
2015,22
2014,21
2011,20
2016,19
2013,15
2012,14
2017,13
2018,10
2008,9
2006,8
2010,7
2009,7
2007,5
2002,5
1989,5
2005,4
2004,4
2003,3
2001,3
2000,3
1997,2
1996,2
1993,2
1999,2
1987,2
1967,2
1998,1
1799,1
1995,1
1950,1
1992,1
1970,1
1991,1
1977,1
1955,1
1990,1
1965,1
1986,1
1985,1
1742,1
1984,1
1983,1
1982,1
1926,1
1969,1
