Year,Occur
2013,29
2012,20
2016,20
2006,19
2011,16
2008,16
2015,16
2010,15
2017,15
2005,14
2014,14
2009,12
2007,11
2003,11
2018,11
2000,10
1988,10
1999,10
1983,9
2004,9
2002,9
1997,8
1996,8
1991,8
1987,7
1998,7
1978,6
1990,6
1984,6
1995,6
1993,6
2001,5
1986,5
1985,5
1981,5
1994,5
1992,5
1974,4
1979,4
1989,4
1963,4
1975,3
1977,3
1982,3
1980,3
1957,3
1961,3
1927,3
1966,3
1976,2
1971,2
1938,2
1945,2
1959,2
1962,2
1969,2
1931,1
1972,1
1970,1
1940,1
1500,1
1944,1
1950,1
1958,1
1960,1
1928,1
1967,1
