Year,Occur
2008,11
1995,11
2004,9
2011,8
1997,8
1999,8
2005,7
1992,7
2002,7
1998,6
2007,6
1990,6
2001,6
2000,6
2015,6
2010,5
2006,5
2016,5
2014,5
1996,4
1994,4
2003,4
1991,4
2018,4
1989,4
2009,3
1993,3
1987,3
2017,2
2013,2
1905,2
2012,1
1971,1
1234,1
1970,1
1939,1
1986,1
1988,1
