Year,Occur
2004,25
2017,24
2010,22
2006,22
2003,22
2009,21
2005,21
2011,20
1998,20
2008,20
2007,19
2002,19
2013,19
1999,18
2015,18
2000,17
2001,16
2016,16
2012,15
2018,15
2014,15
1997,11
1996,10
1995,9
1981,4
1320,4
1986,3
1994,3
1993,3
1991,3
1964,3
1971,2
1990,2
1015,1
1498,1
1970,1
1742,1
1984,1
1902,1
1989,1
1504,1
1799,1
1992,1
1870,1
1956,1
1965,1
1001,1
1969,1
1968,1
